station_name,station_code,sensor,lon,lat,depth
SOUTH HATTERAS - 225 NM South of Cape Hatteras,41002,urn:ioos:sensor:wmo:41002::wpm1,-74.921,31.886999999999997,
"EDISTO - 41 NM Southeast of Charleston, SC",41004,urn:ioos:sensor:wmo:41004::wpm1,-79.09899999999999,32.501,
"GRAYS REEF - 40 NM Southeast of Savannah, GA",41008,urn:ioos:sensor:wmo:41008::wpm1,-80.868,31.4,
"CANAVERAL 20 NM East of Cape Canaveral, FL",41009,urn:ioos:sensor:wmo:41009::wpm1,-80.185,28.508000000000003,
"Diamond Shoals, NC",41025,urn:ioos:sensor:wmo:41025::wpm1,-75.363,35.025,
WEST BERMUDA - 240 NM West of Bermuda,41048,urn:ioos:sensor:wmo:41048::wpm1,-69.57300000000001,31.831,
SOUTH BERMUDA - 300 NM SSE of Bermuda,41049,urn:ioos:sensor:wmo:41049::wpm1,-62.938,27.49,
"South of St. John, VI",41052,urn:ioos:sensor:wmo:41052::summarywav1,-64.763,18.249000000000002,
"Vieques Island, PR",41056,urn:ioos:sensor:wmo:41056::summarywav1,-65.464,18.261,
"Wilmington Harbor, NC - (200)",41108,urn:ioos:sensor:wmo:41108::summarywav1,-78.015,33.721,
"Masonboro Inlet, ILM2, NC (150)",41110,urn:ioos:sensor:wmo:41110::summarywav1,-77.717,34.141,
"Offshore Fernandina Beach, FL (132)",41112,urn:ioos:sensor:wmo:41112::summarywav1,-81.292,30.709,
"Cape Canaveral Nearshore, FL (143)",41113,urn:ioos:sensor:wmo:41113::summarywav1,-80.53399999999999,28.4,
"Fort Pierce, FL (134)",41114,urn:ioos:sensor:wmo:41114::summarywav1,-80.217,27.55,
"Rincon, Puerto Rico (181)",41115,urn:ioos:sensor:wmo:41115::summarywav1,-67.28,18.375999999999998,
"Onslow Bay Outer, NC (217)",41159,urn:ioos:sensor:wmo:41159::summarywav1,-76.946,34.213,
"Central Caribbean - 210 NM SSE of Kingston, Jamaica",42058,urn:ioos:sensor:wmo:42058::wpm1,-74.548,14.776,
"Southeast of Ponce, PR",42085,urn:ioos:sensor:wmo:42085::summarywav1,-66.532,17.869,
"VIRGINIA BEACH 64 NM East of Virginia Beach, VA",44014,urn:ioos:sensor:wmo:44014::wpm1,-74.84,36.606,
"Jamestown, VA",44041,urn:ioos:sensor:wmo:44041::summarywav1,-76.785,37.211999999999996,
"Duck FRF, NC",44056,urn:ioos:sensor:wmo:44056::summarywav1,-75.715,36.199,
"First Landing, VA",44064,urn:ioos:sensor:wmo:44064::summarywav1,-76.087,36.998000000000005,
"York Spit, VA",44072,urn:ioos:sensor:wmo:44072::summarywav1,-76.266,37.201,
"Offshore Wind Energy Area, VA (210)",44093,urn:ioos:sensor:wmo:44093::summarywav1,-75.492,36.872,
"Oregon Inlet, NC (192)",44095,urn:ioos:sensor:wmo:44095::summarywav1,-75.33,35.75,
"Cape Charles, VA (186)",44096,urn:ioos:sensor:wmo:44096::summarywav1,-75.809,37.023,
"Cape Henry, VA (147)",44099,urn:ioos:sensor:wmo:44099::summarywav1,-75.72,36.914,
Sunset Beach Nearshore Waves (SUN2WAVE),ssbn7,urn:ioos:sensor:wmo:ssbn7::summarywav1,-78.484,33.838,
