,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,latitude_dd,longitude_dd,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,marker_id,hcollect_method_id,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,files,approval_id,height_above_gnd,hwm_notes,siteZone,peak_summary_id,elev_m
0,37.29844,-80.00775,Florence Sep 2018,Other (Note in Description box),VP: > 0.40 ft,NAVD88,Level Gun,,Not marked,Static-GNSS,NAD83,Amanda Hodges,Amanda Hodges,VAROA26875,"PETERS CREEK AT ROUTE 117 AT ROANOKE, VA",,,VA,Roanoke City,No,37.29844,-80.00775,33496,Peters Creek,26875,283,9,5,"Washline, 5ft downstream of wingwall. hard to tell if the line is from the previous event on 9/12",37.29844,-80.00775,2018-09-18T04:00:00,1002.34,2,2,Right,8,2,Riverine,2018-09-18T04:00:00,0.0,2,821,821,0.001,1.0,no_label,[],,,,,,305.513232
1,33.69972,-78.93694,Florence Sep 2018,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Andy Caldwell,Marker,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR17781,"UNNAMED TRIB TO AIW @ US 17, NR FOREST BROOK SC",,South Atlantic,SC,Horry County,No,33.69972,-78.93694,33497,Unnamed Trib,17781,283,5,2,Seed line on wall 3 feet upstream of storm surge bracket.,33.69972,-78.93694,2018-09-20T04:00:00,3.84,2,6,N/A,4,3,Coastal,2018-09-17T04:00:00,0.0,2,1381,1381,0.07,,HWM1,[],19036,0.0,This HWM used for verification of storm surge.,,,1.170432
2,33.75861,-78.79278,Florence Sep 2018,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR17780,"SINGLETON  SWASH,END OF SHORE DR, BRIARCLIFFACRES, SC",,South Atlantic,SC,Horry County,No,33.75861,-78.79278,33498,Singleton Swash,17780,283,2,3,Debris line in parking lot at Sands Beach CLub,33.75861,-78.79278,2018-09-20T04:00:00,4.83,2,6,N/A,,3,Coastal,2018-09-17T04:00:00,0.0,2,1381,1381,0.05,,HWM1,[],19033,0.0,This HWM used for verification of storm surge.,,,1.4721840000000002
3,33.6413888888889,-78.9477777777778,Florence Sep 2018,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14335,Swash at Pirateland Campground at US 17 in Horry County,,South Atlantic,SC,Horry County,Yes,33.6413888888889,-78.9477777777778,33499,Unnamed swash,14335,283,2,3,Debris line downstream of bracket.,33.6413888888889,-78.9477777777778,2018-09-20T04:00:00,6.36,2,6,N/A,,3,Coastal,2018-09-17T04:00:00,0.0,2,1381,1381,0.07,,HWM1,[],19032,0.0,This HWM used for verification of storm surge.,,,1.9385280000000003
4,33.6025,-78.9738888888889,Florence Sep 2018,Other (Note in Description box),Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,Stake,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14328,"SURFSIDE BEACH AT 3RD AVENUE SOUTH SWASH,SC",,South Atlantic,SC,Horry County,Yes,33.6025,-78.9738888888889,33500,Surfside Beach Swash,14328,283,9,3,Cut/wash line in sand.,33.6025,-78.9738888888889,2018-09-20T04:00:00,5.02,2,6,N/A,7,3,Coastal,2018-09-17T04:00:00,0.0,2,1381,1381,0.04,,HWM1,[],19027,0.0,"This HWM used for verification of storm surge. From HWM images, mark may have been surveyed on lower cut line which seems reasonable.",,,1.530096
5,33.5797222222222,-79.0033333333333,Florence Sep 2018,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Andy Caldwell,Tape,Phone/Car GPS,NAD83,Andy Caldwell,Andy Caldwell,SCHOR14327,"AIW at Atlantic Ave. near Garden City, SC",,South Atlantic,SC,Horry County,Yes,33.5797222222222,-79.0033333333333,33501,AIW,14327,283,2,3,Large debris line on opposite bank from bracket near restaurant.,33.5797222222222,-79.0033333333333,2018-09-20T04:00:00,4.26,2,6,N/A,2,3,Coastal,2018-09-17T04:00:00,0.0,2,1381,1381,0.01,,HWM1,[],19025,0.0,This HWM used for verification of storm surge.,,,1.298448
6,35.342089,-78.041553,Florence Sep 2018,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,Steve Harden,,Phone/Car GPS,WGS84 (from Digital Map),Anthony Gotvald,Gerard Gonthier,NCWAY18746,Residence on Croom Dr,,,NC,Wayne County,No,35.341981,-78.041385,33502,Neuse River,18746,283,5,1,"HWM is seed line on foundation, right front corner of house.",35.342089,-78.041553,2018-09-26T04:00:00,73.1,2,6,N/A,,3,Riverine,2018-09-21T04:00:00,0.0,4,6,1919,0.02,,HWM-01,[],19314,0.57,Level II survey,,,22.28088
7,35.378963,-78.010596,Florence Sep 2018,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,WGS84 (from Digital Map),Anthony Gotvald,Anthony Gotvald,NCWAY18748,H.V. Brown Park,,,NC,Wayne County,No,35.378963,-78.010596,33503,Neuse River,18748,283,5,3,"HWM on back corner post of picnic pavilion #2, between playground and basketball courts.",35.378963,-78.010596,2018-09-23T04:00:00,73.13,2,6,N/A,6,3,Riverine,2018-09-20T04:00:00,0.0,4,6,6,0.02,,HWM-01,[],18051,0.83,Level II Survey,,,22.290024
8,35.216282,-78.935229,Florence Sep 2018,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Paul Ankcorn,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Paul Ankcorn,NCCUM18704,McCormick Bridge Rd at Little River,,,NC,Cumberland County,No,35.216282,-78.935229,33505,Little River,18704,283,2,4,Debris line on pine tree located 450 feet SE of right bridge abutment on N side of road,35.216282,-78.935229,2018-09-23T04:00:00,139.3,2,6,Right,6,3,Riverine,2018-09-20T04:00:00,0.0,2,1715,873,0.2,,HWM-01,[],18073,8.06,Level II Survey. Estimated HWM location from photos and Google Earth.,,,42.45864
9,34.9695662,-78.9353504,Florence Sep 2018,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Anthony Gotvald,Marker,Phone/Car GPS,NAD83,Eric Frantz,Anthony Gotvald,NCCUM26897,House on Booker Place,,,NC,Cumberland County,No,34.9695662,-78.9353504,33506,Little Rockfish Creek,26897,283,5,2,"Seed line along side of house, marked on SE corner of house near garage. Flagging tape hung on vertical gutter near garage.",34.9695662,-78.9353504,2018-09-21T04:00:00,97.84,2,6,N/A,4,3,Riverine,2018-09-20T04:00:00,1.0,2,5,6,0.1,,HWM-01,[],18054,4.49,Level III survey,,,29.821632
10,35.1998591,-78.9602956,Florence Sep 2018,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Paul Ankcorn,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Paul Ankcorn,NCCUM26903,Heritage at Fort Bragg Apartments,,,NC,Cumberland County,No,35.1998591,-78.9602956,33508,Little River,26903,283,5,2,"Good seed line on white support beam of outdoor patio, located on the northeast corner of the building. Building is located on back of the property near the playground.",35.1998591,-78.9602956,2018-09-23T04:00:00,155.21,2,6,N/A,6,3,Riverine,2018-09-21T04:00:00,0.0,2,1715,873,0.2,,HWM-01,[],18074,5.38,Level II Survey,,,47.30800800000001
11,35.405381,-78.022587,Florence Sep 2018,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Anthony Gotvald,Marker,Map (digital or paper),WGS84 (from Digital Map),Anthony Gotvald,Anthony Gotvald,NCWAY18771,Old boat store at 151 Claridge Nursery Rd.,,,NC,Wayne County,No,35.405274,-78.022734,33509,Little River,18771,283,5,3,Seed line on electrical box at corner of property by road. Mark supported by other fair marks on telephone pole and telephone box.,35.405381,-78.022587,2018-09-21T04:00:00,74.23,2,6,N/A,4,4,Riverine,2018-09-20T04:00:00,0.0,4,6,6,0.02,,HWM-01,[],18052,1.72,Level II Survey. Estimated HWM location from photos and Google Earth.,,,22.625304000000003
12,35.1940704,-78.9853602,Florence Sep 2018,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,Anthony Gotvald,Nail and HWM tag,Phone/Car GPS,NAD83,Cristal Younker,Anthony Gotvald,NCCUM18785,Little River Rd at E Manchester Rd,,,NC,Cumberland County,No,35.19355,-78.98549,33510,Little River,18785,283,5,1,Seed line on powerpole located 200 ft NE of USGS gage 02103000,35.1940704,-78.9853602,2018-09-22T04:00:00,160.86,2,6,N/A,6,3,Riverine,2018-09-21T04:00:00,0.0,2,1715,6,0.09,,HWM-01,[],18056,1.0,Level III Survey,,,49.030128000000005
