station_name,station_code,sensor,lon,lat,depth
SOUTH HATTERAS - 225 NM South of Cape Hatteras,41002,urn:ioos:sensor:wmo:41002::anemometer1,-74.921,31.886999999999997,-3.8
"EDISTO - 41 NM Southeast of Charleston, SC",41004,urn:ioos:sensor:wmo:41004::anemometer1,-79.09899999999999,32.501,-4.1
"GRAYS REEF - 40 NM Southeast of Savannah, GA",41008,urn:ioos:sensor:wmo:41008::anemometer1,-80.868,31.4,-4.9
"CANAVERAL 20 NM East of Cape Canaveral, FL",41009,urn:ioos:sensor:wmo:41009::anemometer1,-80.185,28.508000000000003,-4.1
"Frying Pan Shoals, NC",41013,urn:ioos:sensor:wmo:41013::anemometer1,-77.743,33.436,-4.1
"Sunset Nearshore, NC (SUN2)",41024,urn:ioos:sensor:wmo:41024::anemometer1,-78.477,33.836999999999996,-2.95
"Diamond Shoals, NC",41025,urn:ioos:sensor:wmo:41025::anemometer1,-75.363,35.025,-4.1
"Capers Nearshore, SC (CAP2)",41029,urn:ioos:sensor:wmo:41029::anemometer1,-79.624,32.803000000000004,-2.95
"Fripp Nearshore, SC (FRP2)",41033,urn:ioos:sensor:wmo:41033::anemometer1,-80.406,32.279,-2.95
"Wrightsville Beach Offshore, NC (ILM3)",41037,urn:ioos:sensor:wmo:41037::anemometer1,-77.362,33.988,-2.95
"Wrightsville Beach Nearshore, NC (ILM2)",41038,urn:ioos:sensor:wmo:41038::anemometer1,-77.715,34.141,-2.95
"NE PUERTO RICO - 170 NM NNE of San Juan, PR",41043,urn:ioos:sensor:wmo:41043::anemometer1,-64.83,21.124000000000002,-3.8
"EAST BAHAMAS - 335 NM East of San Salvador Is,  Bahamas",41046,urn:ioos:sensor:wmo:41046::anemometer1,-68.384,23.822,-4.1
"NE BAHAMAS - 350 NM ENE of Nassau, Bahamas",41047,urn:ioos:sensor:wmo:41047::anemometer1,-71.494,27.514,-4.1
WEST BERMUDA - 240 NM West of Bermuda,41048,urn:ioos:sensor:wmo:41048::anemometer1,-69.57300000000001,31.831,-4.1
SOUTH BERMUDA - 300 NM SSE of Bermuda,41049,urn:ioos:sensor:wmo:41049::anemometer1,-62.938,27.49,-3.8
"South of St. John, VI",41052,urn:ioos:sensor:wmo:41052::anemometer1,-64.763,18.249000000000002,-4.0
"Vieques Island, PR",41056,urn:ioos:sensor:wmo:41056::anemometer1,-65.464,18.261,-4.0
"Puerto Plata, DO",41057,urn:ioos:sensor:wmo:41057::anemometer1,-70.73100000000001,19.833,-3.35
"Onslow Bay Outer, NC (LEJ3)",41064,urn:ioos:sensor:wmo:41064::anemometer1,-76.949,34.207,-2.95
"Central Caribbean - 210 NM SSE of Kingston, Jamaica",42058,urn:ioos:sensor:wmo:42058::anemometer1,-74.548,14.776,-3.8
"Eastern Caribbean Sea - 180 NM SSW of Ponce, PR",42059,urn:ioos:sensor:wmo:42059::anemometer1,-67.483,15.252,-4.1
"Southeast of Ponce, PR",42085,urn:ioos:sensor:wmo:42085::anemometer1,-66.532,17.869,-4.0
"Angel Reef, TT",42088,urn:ioos:sensor:wmo:42088::anemometer1,-60.521,11.300999999999998,-3.35
"Little Cayman Research Center, CYM",42089,urn:ioos:sensor:wmo:42089::anemometer1,-80.061,19.699,-3.35
"VIRGINIA BEACH 64 NM East of Virginia Beach, VA",44014,urn:ioos:sensor:wmo:44014::anemometer1,-74.84,36.606,-4.9
"Jamestown, VA",44041,urn:ioos:sensor:wmo:44041::anemometer1,-76.785,37.211999999999996,-3.0
"First Landing, VA",44064,urn:ioos:sensor:wmo:44064::anemometer1,-76.087,36.998000000000005,-3.0
"York Spit, VA",44072,urn:ioos:sensor:wmo:44072::anemometer1,-76.266,37.201,-3.0
"9757809 - Arecibo, PR",arop4,urn:ioos:sensor:wmo:arop4::anemometer1,-66.702,18.48,-6.4
"Cape Lookout, NC",clkn7,urn:ioos:sensor:wmo:clkn7::anemometer1,-76.525,34.622,-9.8
"Folly Island, SC",fbis1,urn:ioos:sensor:wmo:fbis1::anemometer1,-79.888,32.685,-9.8
"9753216 - Fajardo, PR",frdp4,urn:ioos:sensor:wmo:frdp4::anemometer1,-65.631,18.335,-6.4
"Fowey Rock, FL",fwyf1,urn:ioos:sensor:wmo:fwyf1::anemometer1,-80.097,25.590999999999998,-43.9
Lake Murray SC,lmfs1,urn:ioos:sensor:wmo:lmfs1::anemometer1,-81.271,34.107,-9.0
"Long Key, FL",lonf1,urn:ioos:sensor:wmo:lonf1::anemometer1,-80.86399999999999,24.844,-6.7
"Molasses Reef, FL",mlrf1,urn:ioos:sensor:wmo:mlrf1::anemometer1,-80.376,25.011999999999997,-15.8
"Puntas Rincon, PR",ptrp4,urn:ioos:sensor:wmo:ptrp4::anemometer1,-67.251,18.367,-15.0
"Port Everglades Channel, FL",pvgf1,urn:ioos:sensor:wmo:pvgf1::anemometer1,-80.109,26.092,-3.5
"Sand Key, FL",sanf1,urn:ioos:sensor:wmo:sanf1::anemometer1,-81.877,24.456,-14.6
